Title,Summary,Director,Writer,Main Genres,Motion Picture Rating,Release Year,Runtime (Minutes),Rating (Out of 10),Number of Ratings (in thousands),Budget (in millions),Gross in US & Canada (in millions),Gross worldwide (in millions),Opening Weekend in US & Canada,Gross Opening Weekend (in millions),box_office
Anastasia,"The last surviving child of the Russian Royal Family joins two con men to reunite with her grandmother, the Dowager Empress, while the undead Rasputin seeks her death.","Don Bluth,Gary Goldman","Susan Gauthier,Bruce Graham,Bob Tzudiker","Animation,Adventure,Drama",G,1997.0,94.0,7.1,133.0,50.0,58.406,139.804,11.16.1997,0.121,8.405999999999999
The Intern,"Seventy-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",Nancy Meyers,Nancy Meyers,"Comedy,Drama",PG-13,2015.0,121.0,7.1,268.0,35.0,75.765,194.765,09.27.2015,17.728,40.765
Practical Magic,"Two witch sisters, raised by their eccentric aunts in a small town, face closed-minded prejudice and a curse which threatens to prevent them ever finding lasting love.",Griffin Dunne,"Alice Hoffman,Akiva Goldsman,Robin Swicord","Comedy,Drama,Fantasy",PG-13,1998.0,104.0,6.3,92.0,75.0,46.733,46.733,10.18.1998,13.105,-28.267000000000003
Falling Down,An ordinary man frustrated with the various flaws he sees in society begins to psychotically and violently lash out against them.,Joel Schumacher,Ebbe Roe Smith,"Action,Crime,Drama",R,1993.0,113.0,7.6,202.0,25.0,40.904,40.904,02.28.1993,8.724,15.904000000000003
Dawn of the Dead,"A nurse, a policeman, a young married couple, a salesman and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall.",Zack Snyder,"George A. Romero(1978 screenplay),George A. Romero,James Gunn","Action,Horror",R,2004.0,101.0,7.3,268.0,26.0,59.021,102.279,03.21.2004,26.723,33.021
The Queen,"After the death of Princess Diana, Queen Elizabeth II struggles with her reaction to a sequence of events nobody could have predicted.",Stephen Frears,Peter Morgan,"Biography,Drama",PG-13,2006.0,103.0,7.3,115.0,9.8,56.442,124.923,10.01.2006,0.122,46.642
Southpaw,"After a fatal incident sends him on a rampant path of destruction, a champion boxer fights to get custody of his daughter and revive his professional career.",Antoine Fuqua,Kurt Sutter,"Action,Drama,Sport",R,2015.0,124.0,7.3,253.0,30.0,52.422,91.971,07.26.2015,16.701,22.422
Santa Claus: The Movie,The legend of Santa Claus is put in jeopardy when an unscrupulous toy manufacturer attempts to take over Christmas.,Jeannot Szwarc,"Leslie Newman,David Newman","Adventure,Family,Fantasy",PG,1985.0,107.0,6.2,15.0,50.0,23.717,23.743,12.01.1985,5.647,-26.283
Silent Hill,"A woman, Rose, goes in search for her adopted daughter within the confines of a strange, desolate town called Silent Hill.",Christophe Gans,Roger Avary,"Horror,Mystery",R,2006.0,125.0,6.5,240.0,50.0,46.983,100.605,04.23.2006,20.153,-3.017000000000003
Five Feet Apart,"A pair of teenagers with cystic fibrosis meet in a hospital and fall in love, though their disease means they must avoid close physical contact.",Justin Baldoni,"Tobias Iaconis,Mikki Daughtry","Drama,Romance",PG-13,2019.0,116.0,7.2,79.0,7.0,45.729,92.56,03.17.2019,13.19,38.729
Hollow Man,"A brilliant scientist's discovery renders him invisible, but transforms him into an omnipotent, dangerous megalomaniac.",Paul Verhoeven,"Andrew W. Marlowe,Gary Scott Thompson","Action,Horror,Sci-Fi",R,2000.0,112.0,5.8,137.0,95.0,73.209,190.213,08.06.2000,26.414,-21.791
Crimes of the Future,"Humans adapt to a synthetic environment, with new transformations and mutations. With his partner Caprice, Saul Tenser, celebrity performance artist, publicly showcases the metamorphosis of his organs in avant-garde performances.",David Cronenberg,David Cronenberg,"Drama,Horror,Sci-Fi",R,2022.0,107.0,5.8,39.0,35.0,2.453,4.552,06.05.2022,1.118,-32.547
The Outpost,A small team of U.S. soldiers battles against hundreds of Taliban fighters in Afghanistan.,Rod Lurie,"Paul Tamasy,Eric Johnson,Jake Tapper","Action,Drama,History",R,2019.0,123.0,6.8,39.0,18.0,0.187,2.327,07.05.2020,0.031,-17.813
The Predator,"When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.",Shane Black,"Shane Black,Fred Dekker,Jim Thomas","Action,Adventure,Horror",R,2018.0,107.0,5.3,141.0,88.0,51.025,160.542,09.16.2018,24.632,-36.975
Skinamarink,"Two children wake up in the middle of the night to find their father is missing, and all the windows and doors in their home have vanished.",Kyle Edward Ball,Kyle Edward Ball,"Horror,Mystery",R,2022.0,100.0,4.9,14.0,0.015,2.052,2.116,01.15.2023,0.819,2.037
Yesterday,A struggling musician realizes he's the only person on Earth who can remember The Beatles after waking up in an alternate reality where they never existed.,Danny Boyle,"Jack Barth,Richard Curtis","Comedy,Fantasy,Music",PG-13,2019.0,116.0,6.8,163.0,26.0,73.287,154.609,06.30.2019,17.01,47.287000000000006
She's Out of My League,"An average Joe meets the perfect woman, but his lack of confidence and the influence of his friends and family begin to pick away at the relationship.",Jim Field Smith,"Sean Anders,John Morris","Comedy,Romance",R,2010.0,104.0,6.4,142.0,20.0,32.011,49.78,03.14.2010,9.775,12.011000000000005
Bad Boys,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,Michael Bay,"Michael Barrie,George Gallo,Jim Mulholland","Action,Comedy,Crime",R,1995.0,119.0,6.8,281.0,19.0,65.807,141.407,04.09.1995,15.523,46.807
Lethal Weapon,Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.,Richard Donner,"Jeffrey Boam(uncredited),Jeffrey Boam,Shane Black","Action,Crime,Thriller",R,1987.0,109.0,7.6,271.0,15.0,65.207,120.207,03.08.1987,6.83,50.207
Little Women,The March sisters live and grow in post-Civil War America.,Gillian Armstrong,"Louisa May Alcott,Robin Swicord","Drama,Family,Romance",PG,1994.0,115.0,7.3,62.0,18.0,50.084,50.084,12.25.1994,2.411,32.084
Striptease,A stripper and single mother gets dragged into a dangerous situation after a congressman takes a fancy to her.,Andrew Bergman,"Andrew Bergman,Carl Hiaasen","Comedy,Crime,Drama",R,1996.0,115.0,4.5,47.0,40.0,33.11,113.31,06.30.1996,12.322,-6.890000000000001
Sucker Punch,A young girl institutionalized by her abusive stepfather retreats to an alternative reality as a coping strategy and envisions a plan to help her escape.,Zack Snyder,"Zack Snyder,Steve Shibuya","Action,Adventure,Fantasy",PG-13,2011.0,110.0,6.0,249.0,82.0,36.393,89.793,03.27.2011,19.058,-45.607
The Road,"In a dangerous post-apocalyptic world, an ailing father defends his son as they slowly travel to the sea.",John Hillcoat,"Cormac McCarthy,Joe Penhall","Drama,Thriller",R,2009.0,111.0,7.2,250.0,25.0,8.117,27.64,11.29.2009,1.502,-16.883
The Big Chill,A group of seven former college friends gather for a weekend reunion at a South Carolina vacation home after the funeral of another of their college friends.,Lawrence Kasdan,"Barbara Benedek,Lawrence Kasdan","Comedy,Drama",R,1983.0,105.0,7.1,41.0,8.0,56.4,56.4,10.02.1983,3.662,48.4
Sky High,"Set in an era where superheroes are commonly known and accepted, young William Stronghold, the son of the Commander and Jetstream, tries to find a balance between being a normal teenager and an extraordinary being.",Mike Mitchell,"Mark McCorkle,Paul Hernandez,Bob Schooley","Action,Comedy,Family",PG,2005.0,100.0,6.3,93.0,35.0,63.947,86.37,07.31.2005,14.632,28.947000000000003
For Your Eyes Only,"James Bond is assigned to find a missing British vessel, equipped with a weapons encryption device and prevent it from falling into enemy hands.",John Glen,"Ian Fleming(uncredited),Ian Fleming,Michael G. Wilson,Richard Maibaum","Action,Adventure,Thriller",PG,1981.0,127.0,6.7,107.0,28.0,54.813,54.838,06.28.1981,6.835,26.813
Demolition Man,A police officer is brought out of suspended animation in prison to pursue an old ultra-violent nemesis who is loose in a non-violent future society.,Marco Brambilla,"Daniel Waters,Robert Reneau,Peter M. Lenkov","Action,Sci-Fi,Thriller",R,1993.0,115.0,6.7,189.0,57.0,58.056,58.056,10.10.1993,14.262,1.0559999999999974
Law Abiding Citizen,A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free.,F. Gary Gray,Kurt Wimmer,"Action,Crime,Drama",R,2009.0,109.0,7.4,313.0,50.0,73.358,127.944,10.18.2009,21.04,23.358000000000004
The Neon Demon,"An aspiring model, Jesse, is new to Los Angeles. However, her beauty and youth, which generate intense fascination and jealousy within the fashion industry, may prove themselves sinister.",Nicolas Winding Refn,"Polly Stenham,Mary Laws,Nicolas Winding Refn","Horror,Thriller",R,2016.0,117.0,6.1,102.0,7.0,1.333,3.074,06.26.2016,0.589,-5.667
Donnie Brasco,An FBI undercover agent infiltrates the mob and finds himself identifying more with the Mafia life--at the expense of his regular one.,Mike Newell,"Paul Attanasio,Joseph D. Pistone,Richard Woodley","Biography,Crime,Drama",R,1997.0,127.0,7.7,326.0,35.0,41.91,124.91,03.02.1997,11.66,6.909999999999997
The Gift,"A married couple, Simon and Robyn, run into Gordo, an old classmate. Things take a turn when Gordo begins to drop in unannounced at their house and inundates them with mysterious gifts.",Joel Edgerton,Joel Edgerton,"Drama,Mystery,Thriller",R,2015.0,108.0,7.0,168.0,5.0,43.787,58.981,08.09.2015,11.854,38.787
The Fast and the Furious: Tokyo Drift,A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.,Justin Lin,Chris Morgan,"Action,Crime,Thriller",PG-13,2006.0,104.0,6.0,292.0,85.0,62.514,158.965,06.18.2006,23.974,-22.486
Moonlight,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",Barry Jenkins,"Barry Jenkins,Tarell Alvin McCraney",Drama,R,2016.0,111.0,7.4,325.0,4.0,27.855,65.173,10.23.2016,0.402,23.855
Homefront,"A former DEA agent moves his family to a quiet town, where he soon tangles with a local meth druglord.",Gary Fleder,"Sylvester Stallone,Chuck Logan","Action,Crime,Thriller",R,2013.0,100.0,6.5,128.0,22.0,20.159,48.449,12.01.2013,6.915,-1.841000000000001
Escape Room,Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.,Adam Robitel,"Maria Melnik,Bragi F. Schut","Action,Adventure,Horror",PG-13,2019.0,99.0,6.4,138.0,9.0,57.006,155.712,01.06.2019,18.238,48.006
I Know What You Did Last Summer,Four young friends bound by a tragic accident are reunited when they find themselves being stalked by a hook-wielding maniac in their small seaside town.,Jim Gillespie,"Lois Duncan,Kevin Williamson","Horror,Mystery",R,1997.0,101.0,5.8,156.0,17.0,72.586,125.586,10.19.1997,15.819,55.586
Lawless,"Set in Depression-era Franklin County, Virginia, a trio of bootlegging brothers are threatened by a new special deputy and other authorities angling for a cut of their profits.",John Hillcoat,"Nick Cave,Matt Bondurant","Biography,Crime,Drama",R,2012.0,116.0,7.2,251.0,26.0,37.4,55.404,09.02.2012,10.002,11.4
The House Bunny,"After Playboy bunny Shelley is kicked out of the Playboy Mansion, she finds a job as the house mother for a sorority full of socially awkward girls.",Fred Wolf,"Karen McCullah,Kirsten Smith",Comedy,PG-13,2008.0,97.0,5.5,89.0,25.0,48.237,70.44,08.24.2008,14.534,23.237
The Snowman,Detective Harry Hole investigates the disappearance of a woman whose scarf is found wrapped around an ominous-looking snowman.,Tomas Alfredson,"Peter Straughan,Jo Nesbø,Hossein Amini","Crime,Drama,Mystery",R,2017.0,119.0,5.2,70.0,35.0,6.7,43.155,10.22.2017,3.373,-28.3
Crimson Peak,"In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds - and remembers.",Guillermo del Toro,"Guillermo del Toro,Matthew Robbins","Drama,Horror,Mystery",R,2015.0,119.0,6.5,156.0,55.0,31.09,74.68,10.18.2015,13.143,-23.91
Inkheart,"A teenage girl discovers her father has an amazing talent to bring characters out of their books and must try to stop a freed villain from destroying them all, with the help of her father, her aunt, and a storybook's hero.",Iain Softley,"Cornelia Funke,David Lindsay-Abaire","Adventure,Family,Fantasy",PG,2008.0,106.0,6.1,81.0,60.0,17.303,62.803,01.25.2009,7.601,-42.697
Pee-wee's Big Adventure,"When eccentric man-child Pee-wee Herman gets his beloved bike stolen in broad daylight, he sets out across the U.S. on the adventure of his life.",Tim Burton,"Phil Hartman,Michael Varhol,Paul Reubens","Adventure,Comedy,Family",PG,1985.0,91.0,7.0,58.0,6.0,41.047,41.047,08.11.1985,4.546,35.047
Sex Tape,"A married couple wake up to discover that the sex tape they made the evening before has gone missing, leading to a frantic search for its whereabouts.",Jake Kasdan,"Kate Angelo,Jason Segel,Nicholas Stoller","Comedy,Romance",R,2014.0,94.0,5.1,117.0,40.0,38.543,126.07,07.20.2014,14.608,-1.4570000000000007
Road Trip,Four college buddies embark on a road trip to retrieve an illicit tape mistakenly mailed to a female friend.,Todd Phillips,"Todd Phillips,Scot Armstrong",Comedy,R,2000.0,93.0,6.5,176.0,16.0,68.541,119.754,05.21.2000,15.484,52.541
The Remains of the Day,A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.,James Ivory,"Ruth Prawer Jhabvala,Kazuo Ishiguro","Drama,Romance",PG,1993.0,134.0,7.8,82.0,15.0,23.238,23.238,11.07.1993,1.529,8.238
Sleepers,"After a prank goes disastrously wrong, a group of boys are sent to a detention center where they are brutalized. Thirteen years later, an unexpected random encounter with a former guard gives them a chance for revenge.",Barry Levinson,"Barry Levinson,Lorenzo Carcaterra","Crime,Drama,Thriller",R,1996.0,147.0,7.5,234.0,44.0,53.315,165.615,10.20.1996,12.306,9.314999999999998
Tinker Tailor Soldier Spy,"In the bleak days of the Cold War, espionage veteran George Smiley is forced from semi-retirement to uncover a Soviet Agent within MI6.",Tomas Alfredson,"Peter Straughan,Bridget O'Connor,John le Carré","Drama,Mystery,Thriller",R,2011.0,127.0,7.0,210.0,20.0,24.149,81.515,12.11.2011,0.311,4.149000000000001
The Wailing,"Soon after a stranger arrives in a little village, a mysterious sickness starts spreading. A policeman, drawn into the incident, is forced to solve the mystery in order to save his daughter.",Na Hong-jin,Na Hong-jin,"Drama,Horror,Mystery",R,2016.0,156.0,7.4,78.0,6.42,0.787,49.852,05.22.2016,0.078,-5.633
The Beach,"On vacation in Thailand, Richard sets out for an island rumored to be a solitary beach paradise.",Danny Boyle,"John Hodge,Alex Garland","Adventure,Drama,Romance",R,2000.0,119.0,6.6,250.0,50.0,39.785,144.057,02.13.2000,15.278,-10.215000000000003
Rabbit Hole,Life for a happy couple is turned upside down after their young son dies in an accident.,John Cameron Mitchell,,Drama,PG-13,2010.0,91.0,7.0,51.0,5.0,2.229,5.145,12.19.2010,0.054,-2.771
Dicks: The Musical,A pair of business rivals discover that they're identical twins and decide to swap places in an attempt to trick their divorced parents to get back together.,Larry Charles,"Aaron Jackson,Josh Sharp","Comedy,Musical",R,2023.0,86.0,5.5,1.5,12.0,1.443,1.443,10.08.2023,0.202,-10.557
Hocus Pocus,"A teenage boy named Max and his little sister move to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century.",Kenny Ortega,"David Kirschner,Mick Garris,Neil Cuthbert","Comedy,Family,Fantasy",PG,1993.0,96.0,6.9,154.0,28.0,49.272,50.789,07.18.1993,8.125,21.272
Revolutionary Road,A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children.,Sam Mendes,"Justin Haythe,Richard Yates","Drama,Romance",R,2008.0,119.0,7.3,222.0,35.0,22.911,75.981,12.28.2008,0.19,-12.089
The Spiderwick Chronicles,"Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures.",Mark Waters,"John Sayles,Karey Kirkpatrick,David Berenbaum","Action,Adventure,Drama",PG,2008.0,96.0,6.5,101.0,90.0,71.195,164.17,02.17.2008,19.004,-18.805000000000007
The Mighty Ducks,A self-centered Minnesota lawyer is sentenced to community service coaching a rag tag youth hockey team.,Stephen Herek,Steven Brill,"Comedy,Drama,Family",PG,1992.0,104.0,6.5,70.0,10.0,50.752,50.752,10.04.1992,6.035,40.752
